ProductID,ProductName,Category,Price,UnitsSold,Date,StoreLocation,PromotionApplied,Revenue
P009,Whey Protein,Health,75.76,2,2023-01-04,Mumbai,No,151.52
P010,Massage Gun,Electronics,188.45,2,2023-01-04,Delhi,Yes,376.9
P001,Energy Drink,Beverages,23.89,6,2023-01-05,Kolkata,Yes,143.34
P002,Protein Bar,Snacks,65.91,6,2023-01-05,Bangalore,No,395.46
P003,Multivitamin,Health,131.53,6,2023-01-05,Bangalore,Yes,789.18
P004,Yoga Mat,Fitness,158.1,5,2023-01-05,Bangalore,No,790.5
P005,Running Shoes,Apparel,57.82,2,2023-01-05,Bangalore,No,115.64
P006,Sports Bottle,Accessories,62.27,7,2023-01-05,Mumbai,Yes,435.89
P007,Fitness Tracker,Electronics,117.72,11,2023-01-05,Kolkata,No,1294.92
P008,Gym Gloves,Accessories,97.91,10,2023-01-05,Kolkata,No,979.1
P009,Whey Protein,Health,185.52,13,2023-01-05,Delhi,No,2411.76
P010,Massage Gun,Electronics,73.09,1,2023-01-05,Bangalore,No,73.09
P001,Energy Drink,Beverages,74.47,5,2023-01-06,Bangalore,No,372.35
P002,Protein Bar,Snacks,24.04,6,2023-01-06,Bangalore,No,144.24
P003,Multivitamin,Health,10.53,5,2023-01-06,Bangalore,Yes,52.65
P004,Yoga Mat,Fitness,99.71,11,2023-01-06,Delhi,No,1096.81
P005,Running Shoes,Apparel,110.34,4,2023-01-06,Mumbai,Yes,441.36
P006,Sports Bottle,Accessories,141.91,1,2023-01-06,Bangalore,No,141.91
P007,Fitness Tracker,Electronics,119.99,3,2023-01-06,Mumbai,Yes,359.97
P008,Gym Gloves,Accessories,158.19,4,2023-01-06,Kolkata,No,632.76
P009,Whey Protein,Health,88.35,4,2023-01-06,Mumbai,No,353.4
P010,Massage Gun,Electronics,36.46,1,2023-01-06,Bangalore,Yes,36.46
P001,Energy Drink,Beverages,15.25,6,2023-01-07,Mumbai,No,91.5
P002,Protein Bar,Snacks,154.32,10,2023-01-07,Delhi,Yes,1543.2
P003,Multivitamin,Health,132.8,2,2023-01-07,Delhi,Yes,265.6
P004,Yoga Mat,Fitness,115.14,11,2023-01-07,Bangalore,Yes,1266.54
P005,Running Shoes,Apparel,194.89,8,2023-01-07,Kolkata,No,1559.12
P006,Sports Bottle,Accessories,104.65,1,2023-01-07,Bangalore,No,104.65
P007,Fitness Tracker,Electronics,57.85,2,2023-01-07,Mumbai,Yes,115.7
P008,Gym Gloves,Accessories,127.85,8,2023-01-07,Kolkata,Yes,1022.8
P009,Whey Protein,Health,96.67,2,2023-01-07,Delhi,No,193.34
P010,Massage Gun,Electronics,103.14,3,2023-01-07,Mumbai,Yes,309.42
P001,Energy Drink,Beverages,195.32,3,2023-01-08,Kolkata,Yes,585.96
P002,Protein Bar,Snacks,168.15,10,2023-01-08,Kolkata,Yes,1681.5
P003,Multivitamin,Health,113.98,8,2023-01-08,Bangalore,Yes,911.84
P004,Yoga Mat,Fitness,43.2,9,2023-01-08,Delhi,Yes,388.8
P005,Running Shoes,Apparel,41.03,10,2023-01-08,Bangalore,Yes,410.3
P006,Sports Bottle,Accessories,153.95,1,2023-01-08,Bangalore,Yes,153.95
P007,Fitness Tracker,Electronics,58.1,3,2023-01-08,Mumbai,Yes,174.3
P008,Gym Gloves,Accessories,199.14,4,2023-01-08,Bangalore,No,796.56
P009,Whey Protein,Health,67.22,3,2023-01-08,Delhi,No,201.66
P010,Massage Gun,Electronics,34.53,5,2023-01-08,Mumbai,Yes,172.65
P001,Energy Drink,Beverages,167.35,6,2023-01-09,Mumbai,Yes,1004.1
P002,Protein Bar,Snacks,87.12,1,2023-01-09,Bangalore,Yes,87.12
P003,Multivitamin,Health,199.94,0,2023-01-09,Delhi,Yes,0.0
P004,Yoga Mat,Fitness,105.45,10,2023-01-09,Kolkata,No,1054.5
P005,Running Shoes,Apparel,182.47,5,2023-01-09,Mumbai,Yes,912.35
P006,Sports Bottle,Accessories,43.16,10,2023-01-09,Delhi,No,431.6
P007,Fitness Tracker,Electronics,28.09,9,2023-01-09,Bangalore,Yes,252.81
P008,Gym Gloves,Accessories,69.69,11,2023-01-09,Delhi,No,766.59
P009,Whey Protein,Health,67.28,4,2023-01-09,Mumbai,No,269.12
P010,Massage Gun,Electronics,181.14,4,2023-01-09,Mumbai,No,724.56
P001,Energy Drink,Beverages,122.45,11,2023-01-10,Bangalore,No,1346.95
P002,Protein Bar,Snacks,18.05,5,2023-01-10,Bangalore,Yes,90.25
P003,Multivitamin,Health,185.99,13,2023-01-10,Mumbai,No,2417.87
P004,Yoga Mat,Fitness,55.73,4,2023-01-10,Mumbai,Yes,222.92
P005,Running Shoes,Apparel,187.2,10,2023-01-10,Delhi,Yes,1872.0
P006,Sports Bottle,Accessories,106.23,3,2023-01-10,Bangalore,No,318.69
P007,Fitness Tracker,Electronics,80.01,1,2023-01-10,Bangalore,Yes,80.01
P008,Gym Gloves,Accessories,172.99,6,2023-01-10,Bangalore,No,1037.94
P009,Whey Protein,Health,124.96,5,2023-01-10,Delhi,Yes,624.8
P010,Massage Gun,Electronics,109.09,9,2023-01-10,Mumbai,Yes,981.81
P001,Energy Drink,Beverages,152.52,4,2023-01-11,Kolkata,Yes,610.08
P002,Protein Bar,Snacks,85.24,7,2023-01-11,Mumbai,No,596.68
P003,Multivitamin,Health,172.09,1,2023-01-11,Kolkata,Yes,172.09
P004,Yoga Mat,Fitness,118.97,1,2023-01-11,Kolkata,Yes,118.97
P005,Running Shoes,Apparel,43.31,6,2023-01-11,Delhi,No,259.86
P006,Sports Bottle,Accessories,24.95,7,2023-01-11,Mumbai,No,174.65
P007,Fitness Tracker,Electronics,132.14,2,2023-01-11,Mumbai,Yes,264.28
P008,Gym Gloves,Accessories,109.51,4,2023-01-11,Bangalore,No,438.04
P009,Whey Protein,Health,121.92,7,2023-01-11,Bangalore,Yes,853.44
P010,Massage Gun,Electronics,69.67,4,2023-01-11,Bangalore,No,278.68
P001,Energy Drink,Beverages,139.76,3,2023-01-12,Mumbai,No,419.28
P002,Protein Bar,Snacks,157.19,9,2023-01-12,Bangalore,Yes,1414.71
P003,Multivitamin,Health,76.72,1,2023-01-12,Bangalore,Yes,76.72
P004,Yoga Mat,Fitness,164.41,1,2023-01-12,Bangalore,No,164.41
P005,Running Shoes,Apparel,82.64,10,2023-01-12,Mumbai,Yes,826.4
P006,Sports Bottle,Accessories,43.21,7,2023-01-12,Delhi,No,302.47
P007,Fitness Tracker,Electronics,102.75,4,2023-01-12,Bangalore,Yes,411.0
P008,Gym Gloves,Accessories,99.91,4,2023-01-12,Delhi,Yes,399.64
P009,Whey Protein,Health,38.56,2,2023-01-12,Bangalore,Yes,77.12
P010,Massage Gun,Electronics,63.37,5,2023-01-12,Delhi,Yes,316.85
P001,Energy Drink,Beverages,193.45,6,2023-01-13,Mumbai,Yes,1160.7
P002,Protein Bar,Snacks,71.42,4,2023-01-13,Kolkata,Yes,285.68
P003,Multivitamin,Health,55.97,11,2023-01-13,Kolkata,No,615.67
P004,Yoga Mat,Fitness,141.2,4,2023-01-13,Mumbai,No,564.8
P005,Running Shoes,Apparel,193.53,1,2023-01-13,Bangalore,Yes,193.53
P006,Sports Bottle,Accessories,184.33,8,2023-01-13,Delhi,Yes,1474.64
P007,Fitness Tracker,Electronics,37.73,5,2023-01-13,Kolkata,No,188.65
P008,Gym Gloves,Accessories,198.75,7,2023-01-13,Bangalore,Yes,1391.25
P009,Whey Protein,Health,58.44,6,2023-01-13,Mumbai,No,350.64
P010,Massage Gun,Electronics,79.73,12,2023-01-13,Delhi,Yes,956.76
P001,Energy Drink,Beverages,28.73,5,2023-01-14,Delhi,Yes,143.65
P002,Protein Bar,Snacks,160.92,6,2023-01-14,Mumbai,No,965.52
P003,Multivitamin,Health,17.57,7,2023-01-14,Delhi,Yes,122.99
P004,Yoga Mat,Fitness,149.58,9,2023-01-14,Kolkata,Yes,1346.22
P005,Running Shoes,Apparel,84.55,10,2023-01-14,Delhi,No,845.5
P006,Sports Bottle,Accessories,19.49,11,2023-01-14,Delhi,Yes,214.39
P007,Fitness Tracker,Electronics,129.63,3,2023-01-14,Delhi,Yes,388.89
P008,Gym Gloves,Accessories,77.11,2,2023-01-14,Bangalore,No,154.22
P009,Whey Protein,Health,109.0,14,2023-01-14,Delhi,Yes,1526.0
P010,Massage Gun,Electronics,103.52,7,2023-01-14,Delhi,No,724.64
P001,Energy Drink,Beverages,34.58,1,2023-01-15,Bangalore,Yes,34.58
P002,Protein Bar,Snacks,28.09,4,2023-01-15,Delhi,No,112.36
P003,Multivitamin,Health,27.8,8,2023-01-15,Delhi,Yes,222.4
P004,Yoga Mat,Fitness,76.7,6,2023-01-15,Mumbai,No,460.2
P005,Running Shoes,Apparel,135.57,9,2023-01-15,Delhi,Yes,1220.13
P006,Sports Bottle,Accessories,115.33,6,2023-01-15,Mumbai,Yes,691.98
P007,Fitness Tracker,Electronics,128.82,1,2023-01-15,Bangalore,No,128.82
P008,Gym Gloves,Accessories,183.88,11,2023-01-15,Mumbai,No,2022.68
P009,Whey Protein,Health,18.35,3,2023-01-15,Delhi,No,55.05
P010,Massage Gun,Electronics,174.72,2,2023-01-15,Delhi,Yes,349.44
P001,Energy Drink,Beverages,72.04,3,2023-01-16,Delhi,Yes,216.12
P002,Protein Bar,Snacks,127.33,6,2023-01-16,Bangalore,Yes,763.98
P003,Multivitamin,Health,105.98,1,2023-01-16,Delhi,No,105.98
P004,Yoga Mat,Fitness,12.34,7,2023-01-16,Kolkata,No,86.38
P005,Running Shoes,Apparel,182.0,8,2023-01-16,Mumbai,Yes,1456.0
P006,Sports Bottle,Accessories,24.42,1,2023-01-16,Kolkata,No,24.42
P007,Fitness Tracker,Electronics,64.92,2,2023-01-16,Bangalore,Yes,129.84
P008,Gym Gloves,Accessories,187.15,11,2023-01-16,Mumbai,No,2058.65
P009,Whey Protein,Health,24.32,2,2023-01-16,Kolkata,No,48.64
P010,Massage Gun,Electronics,46.57,5,2023-01-16,Kolkata,No,232.85
P001,Energy Drink,Beverages,73.9,2,2023-01-17,Kolkata,No,147.8
P002,Protein Bar,Snacks,158.93,7,2023-01-17,Delhi,No,1112.51
P003,Multivitamin,Health,19.7,7,2023-01-17,Kolkata,Yes,137.9
P004,Yoga Mat,Fitness,59.99,1,2023-01-17,Delhi,Yes,59.99
P005,Running Shoes,Apparel,194.89,8,2023-01-17,Bangalore,Yes,1559.12
P006,Sports Bottle,Accessories,181.5,4,2023-01-17,Delhi,No,726.0
P007,Fitness Tracker,Electronics,137.47,4,2023-01-17,Kolkata,Yes,549.88
P008,Gym Gloves,Accessories,157.58,7,2023-01-17,Bangalore,Yes,1103.06
P009,Whey Protein,Health,186.92,3,2023-01-17,Kolkata,Yes,560.76
P010,Massage Gun,Electronics,113.42,4,2023-01-17,Kolkata,No,453.68
P001,Energy Drink,Beverages,91.41,9,2023-01-18,Delhi,Yes,822.69
P002,Protein Bar,Snacks,181.54,7,2023-01-18,Mumbai,No,1270.78
P003,Multivitamin,Health,13.99,5,2023-01-18,Mumbai,No,69.95
P004,Yoga Mat,Fitness,136.77,9,2023-01-18,Delhi,Yes,1230.93
P005,Running Shoes,Apparel,169.35,10,2023-01-18,Mumbai,Yes,1693.5
P006,Sports Bottle,Accessories,198.34,6,2023-01-18,Delhi,Yes,1190.04
P007,Fitness Tracker,Electronics,84.06,2,2023-01-18,Bangalore,Yes,168.12
P008,Gym Gloves,Accessories,111.7,2,2023-01-18,Mumbai,No,223.4
P009,Whey Protein,Health,193.83,6,2023-01-18,Kolkata,Yes,1162.98
P010,Massage Gun,Electronics,147.28,0,2023-01-18,Mumbai,Yes,0.0
P001,Energy Drink,Beverages,33.07,1,2023-01-19,Delhi,No,33.07
P002,Protein Bar,Snacks,48.95,16,2023-01-19,Mumbai,Yes,783.2
P003,Multivitamin,Health,54.16,3,2023-01-19,Bangalore,Yes,162.48
P004,Yoga Mat,Fitness,153.53,2,2023-01-19,Kolkata,Yes,307.06
P005,Running Shoes,Apparel,81.72,8,2023-01-19,Kolkata,Yes,653.76
P006,Sports Bottle,Accessories,156.94,4,2023-01-19,Bangalore,No,627.76
P007,Fitness Tracker,Electronics,118.89,9,2023-01-19,Mumbai,Yes,1070.01
P008,Gym Gloves,Accessories,100.78,11,2023-01-19,Delhi,Yes,1108.58
P009,Whey Protein,Health,84.37,6,2023-01-19,Bangalore,No,506.22
P010,Massage Gun,Electronics,53.99,2,2023-01-19,Mumbai,Yes,107.98
P001,Energy Drink,Beverages,165.93,6,2023-01-20,Bangalore,No,995.58
P002,Protein Bar,Snacks,21.38,2,2023-01-20,Mumbai,Yes,42.76
P003,Multivitamin,Health,63.52,5,2023-01-20,Delhi,Yes,317.6
P004,Yoga Mat,Fitness,20.81,20,2023-01-20,Bangalore,Yes,416.2
P005,Running Shoes,Apparel,158.07,6,2023-01-20,Mumbai,Yes,948.42
P006,Sports Bottle,Accessories,58.36,6,2023-01-20,Mumbai,Yes,350.16
P007,Fitness Tracker,Electronics,135.18,12,2023-01-20,Delhi,No,1622.16
P008,Gym Gloves,Accessories,189.28,5,2023-01-20,Delhi,No,946.4
P009,Whey Protein,Health,53.47,1,2023-01-20,Mumbai,Yes,53.47
P010,Massage Gun,Electronics,125.62,8,2023-01-20,Bangalore,No,1004.96
P001,Energy Drink,Beverages,32.99,2,2023-01-21,Bangalore,Yes,65.98
P002,Protein Bar,Snacks,180.88,5,2023-01-21,Kolkata,No,904.4
P003,Multivitamin,Health,107.67,7,2023-01-21,Delhi,No,753.69
P004,Yoga Mat,Fitness,164.1,12,2023-01-21,Mumbai,Yes,1969.2
P005,Running Shoes,Apparel,11.1,5,2023-01-21,Mumbai,No,55.5
P006,Sports Bottle,Accessories,157.37,7,2023-01-21,Bangalore,No,1101.59
P007,Fitness Tracker,Electronics,79.55,9,2023-01-21,Kolkata,No,715.95
P008,Gym Gloves,Accessories,155.38,2,2023-01-21,Bangalore,Yes,310.76
P009,Whey Protein,Health,98.79,7,2023-01-21,Mumbai,No,691.53
P010,Massage Gun,Electronics,146.04,4,2023-01-21,Bangalore,Yes,584.16
P001,Energy Drink,Beverages,165.5,6,2023-01-22,Delhi,No,993.0
P002,Protein Bar,Snacks,28.63,4,2023-01-22,Bangalore,No,114.52
P003,Multivitamin,Health,22.03,4,2023-01-22,Kolkata,No,88.12
P004,Yoga Mat,Fitness,69.25,4,2023-01-22,Mumbai,No,277.0
P005,Running Shoes,Apparel,73.62,8,2023-01-22,Mumbai,No,588.96
P006,Sports Bottle,Accessories,66.8,6,2023-01-22,Kolkata,Yes,400.8
P007,Fitness Tracker,Electronics,191.53,3,2023-01-22,Kolkata,No,574.59
P008,Gym Gloves,Accessories,198.44,4,2023-01-22,Mumbai,No,793.76
P009,Whey Protein,Health,139.44,7,2023-01-22,Bangalore,Yes,976.08
P010,Massage Gun,Electronics,175.01,5,2023-01-22,Mumbai,Yes,875.05
P001,Energy Drink,Beverages,63.75,13,2023-01-23,Delhi,Yes,828.75
P002,Protein Bar,Snacks,69.63,3,2023-01-23,Kolkata,Yes,208.89
P003,Multivitamin,Health,88.65,5,2023-01-23,Kolkata,Yes,443.25
P004,Yoga Mat,Fitness,135.0,11,2023-01-23,Delhi,Yes,1485.0
P005,Running Shoes,Apparel,105.7,1,2023-01-23,Bangalore,No,105.7
P006,Sports Bottle,Accessories,51.81,10,2023-01-23,Kolkata,No,518.1
P007,Fitness Tracker,Electronics,151.43,6,2023-01-23,Delhi,Yes,908.58
P008,Gym Gloves,Accessories,163.73,9,2023-01-23,Kolkata,Yes,1473.57
P009,Whey Protein,Health,58.75,9,2023-01-23,Mumbai,Yes,528.75
P010,Massage Gun,Electronics,129.07,9,2023-01-23,Bangalore,Yes,1161.63
P001,Energy Drink,Beverages,129.47,6,2023-01-24,Bangalore,Yes,776.82
P002,Protein Bar,Snacks,121.41,4,2023-01-24,Mumbai,Yes,485.64
P003,Multivitamin,Health,192.88,4,2023-01-24,Mumbai,Yes,771.52
P004,Yoga Mat,Fitness,152.82,2,2023-01-24,Bangalore,No,305.64
P005,Running Shoes,Apparel,118.94,7,2023-01-24,Mumbai,No,832.58
P006,Sports Bottle,Accessories,185.89,12,2023-01-24,Bangalore,Yes,2230.68
P007,Fitness Tracker,Electronics,18.76,7,2023-01-24,Delhi,No,131.32
P008,Gym Gloves,Accessories,63.37,1,2023-01-24,Bangalore,Yes,63.37
P009,Whey Protein,Health,168.86,5,2023-01-24,Bangalore,Yes,844.3
P010,Massage Gun,Electronics,60.03,5,2023-01-24,Delhi,No,300.15
P001,Energy Drink,Beverages,105.49,9,2023-01-25,Kolkata,No,949.41
P002,Protein Bar,Snacks,74.93,9,2023-01-25,Delhi,Yes,674.37
P003,Multivitamin,Health,65.58,8,2023-01-25,Delhi,No,524.64
P004,Yoga Mat,Fitness,129.67,9,2023-01-25,Delhi,No,1167.03
P005,Running Shoes,Apparel,175.86,7,2023-01-25,Mumbai,Yes,1231.02
P006,Sports Bottle,Accessories,178.53,3,2023-01-25,Kolkata,No,535.59
P007,Fitness Tracker,Electronics,62.47,5,2023-01-25,Bangalore,No,312.35
P008,Gym Gloves,Accessories,143.38,1,2023-01-25,Kolkata,No,143.38
P009,Whey Protein,Health,140.29,9,2023-01-25,Bangalore,Yes,1262.61
P010,Massage Gun,Electronics,12.53,2,2023-01-25,Mumbai,Yes,25.06
P001,Energy Drink,Beverages,98.07,5,2023-01-26,Bangalore,Yes,490.35
P002,Protein Bar,Snacks,15.21,6,2023-01-26,Mumbai,Yes,91.26
P003,Multivitamin,Health,53.74,9,2023-01-26,Mumbai,No,483.66
P004,Yoga Mat,Fitness,67.89,3,2023-01-26,Bangalore,Yes,203.67
P005,Running Shoes,Apparel,172.11,5,2023-01-26,Delhi,Yes,860.55
P006,Sports Bottle,Accessories,18.74,7,2023-01-26,Mumbai,No,131.18
P007,Fitness Tracker,Electronics,114.78,3,2023-01-26,Mumbai,Yes,344.34
P008,Gym Gloves,Accessories,133.11,9,2023-01-26,Kolkata,No,1197.99
P009,Whey Protein,Health,95.82,11,2023-01-26,Delhi,No,1054.02
P010,Massage Gun,Electronics,65.51,3,2023-01-26,Bangalore,No,196.53
P001,Energy Drink,Beverages,159.23,9,2023-01-27,Kolkata,No,1433.07
P002,Protein Bar,Snacks,23.45,6,2023-01-27,Mumbai,No,140.7
P003,Multivitamin,Health,74.23,11,2023-01-27,Delhi,Yes,816.53
P004,Yoga Mat,Fitness,92.26,2,2023-01-27,Kolkata,No,184.52
P005,Running Shoes,Apparel,26.1,3,2023-01-27,Kolkata,Yes,78.3
P006,Sports Bottle,Accessories,184.35,6,2023-01-27,Bangalore,No,1106.1
P007,Fitness Tracker,Electronics,145.75,6,2023-01-27,Mumbai,Yes,874.5
P008,Gym Gloves,Accessories,137.58,10,2023-01-27,Delhi,No,1375.8
P009,Whey Protein,Health,181.65,7,2023-01-27,Mumbai,Yes,1271.55
P010,Massage Gun,Electronics,181.03,6,2023-01-27,Delhi,Yes,1086.18
P001,Energy Drink,Beverages,56.17,8,2023-01-28,Delhi,Yes,449.36
P002,Protein Bar,Snacks,169.47,10,2023-01-28,Bangalore,No,1694.7
P003,Multivitamin,Health,149.65,3,2023-01-28,Bangalore,No,448.95
P004,Yoga Mat,Fitness,162.68,4,2023-01-28,Kolkata,No,650.72
P005,Running Shoes,Apparel,115.72,14,2023-01-28,Mumbai,No,1620.08
P006,Sports Bottle,Accessories,160.71,4,2023-01-28,Bangalore,Yes,642.84
P007,Fitness Tracker,Electronics,75.56,7,2023-01-28,Delhi,Yes,528.92
P008,Gym Gloves,Accessories,113.19,4,2023-01-28,Mumbai,No,452.76
P009,Whey Protein,Health,49.37,4,2023-01-28,Delhi,No,197.48
P010,Massage Gun,Electronics,196.29,5,2023-01-28,Delhi,Yes,981.45
P001,Energy Drink,Beverages,145.1,8,2023-01-29,Kolkata,Yes,1160.8
P002,Protein Bar,Snacks,56.09,3,2023-01-29,Kolkata,No,168.27
P003,Multivitamin,Health,113.22,5,2023-01-29,Bangalore,No,566.1
P004,Yoga Mat,Fitness,10.24,2,2023-01-29,Delhi,Yes,20.48
P005,Running Shoes,Apparel,33.34,6,2023-01-29,Delhi,No,200.04
P006,Sports Bottle,Accessories,154.56,6,2023-01-29,Kolkata,Yes,927.36
P007,Fitness Tracker,Electronics,129.17,11,2023-01-29,Kolkata,Yes,1420.87
P008,Gym Gloves,Accessories,92.92,6,2023-01-29,Mumbai,Yes,557.52
P009,Whey Protein,Health,149.14,3,2023-01-29,Bangalore,No,447.42
P010,Massage Gun,Electronics,41.56,2,2023-01-29,Kolkata,Yes,83.12
P001,Energy Drink,Beverages,34.44,2,2023-01-30,Bangalore,Yes,68.88
P002,Protein Bar,Snacks,161.48,2,2023-01-30,Bangalore,Yes,322.96
P003,Multivitamin,Health,168.34,5,2023-01-30,Bangalore,Yes,841.7
P004,Yoga Mat,Fitness,100.57,3,2023-01-30,Mumbai,No,301.71
P005,Running Shoes,Apparel,116.23,5,2023-01-30,Mumbai,No,581.15
P006,Sports Bottle,Accessories,28.24,8,2023-01-30,Mumbai,Yes,225.92
P007,Fitness Tracker,Electronics,20.7,10,2023-01-30,Kolkata,No,207.0
P008,Gym Gloves,Accessories,19.97,5,2023-01-30,Delhi,No,99.85
P009,Whey Protein,Health,23.16,0,2023-01-30,Bangalore,No,0.0
P010,Massage Gun,Electronics,177.04,2,2023-01-30,Mumbai,No,354.08
P001,Energy Drink,Beverages,197.59,0,2023-01-31,Mumbai,No,0.0
P002,Protein Bar,Snacks,164.97,4,2023-01-31,Bangalore,No,659.88
P003,Multivitamin,Health,88.08,2,2023-01-31,Mumbai,No,176.16
P004,Yoga Mat,Fitness,111.46,1,2023-01-31,Kolkata,Yes,111.46
P005,Running Shoes,Apparel,48.77,4,2023-01-31,Bangalore,No,195.08
P006,Sports Bottle,Accessories,137.09,10,2023-01-31,Delhi,No,1370.9
P007,Fitness Tracker,Electronics,27.26,0,2023-01-31,Kolkata,Yes,0.0
P008,Gym Gloves,Accessories,103.86,12,2023-01-31,Kolkata,No,1246.32
P009,Whey Protein,Health,191.78,7,2023-01-31,Delhi,Yes,1342.46
P010,Massage Gun,Electronics,130.69,3,2023-01-31,Kolkata,Yes,392.07
P001,Energy Drink,Beverages,114.09,10,2023-02-01,Mumbai,No,1140.9
P002,Protein Bar,Snacks,131.77,5,2023-02-01,Kolkata,No,658.85
P003,Multivitamin,Health,21.36,5,2023-02-01,Delhi,Yes,106.8
P004,Yoga Mat,Fitness,20.35,9,2023-02-01,Mumbai,No,183.15
P005,Running Shoes,Apparel,14.61,10,2023-02-01,Bangalore,No,146.1
P006,Sports Bottle,Accessories,152.09,3,2023-02-01,Kolkata,Yes,456.27
P007,Fitness Tracker,Electronics,41.08,6,2023-02-01,Kolkata,No,246.48
P008,Gym Gloves,Accessories,69.43,5,2023-02-01,Bangalore,No,347.15
P009,Whey Protein,Health,184.98,3,2023-02-01,Mumbai,Yes,554.94
P010,Massage Gun,Electronics,35.21,8,2023-02-01,Delhi,Yes,281.68
P001,Energy Drink,Beverages,37.46,11,2023-02-02,Mumbai,No,412.06
P002,Protein Bar,Snacks,96.81,7,2023-02-02,Mumbai,Yes,677.67
P003,Multivitamin,Health,82.93,9,2023-02-02,Bangalore,Yes,746.37
P004,Yoga Mat,Fitness,199.2,8,2023-02-02,Mumbai,Yes,1593.6
P005,Running Shoes,Apparel,112.35,3,2023-02-02,Delhi,Yes,337.05
P006,Sports Bottle,Accessories,11.72,7,2023-02-02,Mumbai,No,82.04
P007,Fitness Tracker,Electronics,103.71,9,2023-02-02,Delhi,No,933.39
P008,Gym Gloves,Accessories,30.24,2,2023-02-02,Bangalore,No,60.48
P009,Whey Protein,Health,59.92,4,2023-02-02,Bangalore,Yes,239.68
P010,Massage Gun,Electronics,69.49,3,2023-02-02,Bangalore,No,208.47
P001,Energy Drink,Beverages,137.31,9,2023-02-03,Kolkata,No,1235.79
P002,Protein Bar,Snacks,14.16,10,2023-02-03,Bangalore,No,141.6
P003,Multivitamin,Health,184.35,4,2023-02-03,Mumbai,No,737.4
P004,Yoga Mat,Fitness,141.41,3,2023-02-03,Mumbai,No,424.23
P005,Running Shoes,Apparel,10.82,1,2023-02-03,Mumbai,No,10.82
P006,Sports Bottle,Accessories,167.39,6,2023-02-03,Delhi,Yes,1004.34
P007,Fitness Tracker,Electronics,160.76,4,2023-02-03,Mumbai,No,643.04
P008,Gym Gloves,Accessories,69.13,6,2023-02-03,Delhi,No,414.78
